@relation 'EssentiaData-weka.filters.unsupervised.attribute.Remove-R1,11,21,31,41,51,61,71,81,91,101,111,885,895-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,9-13,15-16,18-22,24-25,27-31,33-34,36-40,42-43,45-49,51-52,54-58,60-61,63-67,69-70,72-76,78-79,81-85,87-88,90-94,96-97,99-103,105-106,108,873-876,878-879,881-885,887-888,890-weka.filters.unsupervised.attribute.Remove-R38-375,389-726,735-740,747-752-weka.filters.unsupervised.attribute.Remove-R53-70,77-88,95-100'

@attribute lowlevel.melbands_crest.mean numeric
@attribute lowlevel.melbands_crest.stdev numeric
@attribute lowlevel.melbands_kurtosis.mean numeric
@attribute lowlevel.melbands_kurtosis.stdev numeric
@attribute lowlevel.spectral_energy.mean numeric
@attribute lowlevel.spectral_energy.stdev numeric
@attribute lowlevel.spectral_energyband_high.mean numeric
@attribute lowlevel.spectral_energyband_high.stdev numeric
@attribute lowlevel.spectral_energyband_low.mean numeric
@attribute lowlevel.spectral_energyband_low.stdev numeric
@attribute lowlevel.spectral_energyband_middle_high.mean numeric
@attribute lowlevel.spectral_energyband_middle_high.stdev numeric
@attribute lowlevel.spectral_energyband_middle_low.mean numeric
@attribute lowlevel.spectral_energyband_middle_low.stdev numeric
@attribute lowlevel.spectral_entropy.mean numeric
@attribute lowlevel.spectral_entropy.stdev numeric
@attribute lowlevel.spectral_flux.mean numeric
@attribute lowlevel.spectral_flux.stdev numeric
@attribute lowlevel.spectral_rolloff.mean numeric
@attribute lowlevel.spectral_rolloff.stdev numeric
@attribute lowlevel.spectral_skewness.mean numeric
@attribute lowlevel.spectral_skewness.stdev numeric
@attribute lowlevel.zerocrossingrate.mean numeric
@attribute lowlevel.zerocrossingrate.stdev numeric
@attribute lowlevel.gfcc.mean.0 numeric
@attribute lowlevel.gfcc.mean.1 numeric
@attribute lowlevel.gfcc.mean.2 numeric
@attribute lowlevel.gfcc.mean.3 numeric
@attribute lowlevel.gfcc.mean.4 numeric
@attribute lowlevel.gfcc.mean.5 numeric
@attribute lowlevel.gfcc.mean.6 numeric
@attribute lowlevel.gfcc.mean.7 numeric
@attribute lowlevel.gfcc.mean.8 numeric
@attribute lowlevel.gfcc.mean.9 numeric
@attribute lowlevel.gfcc.mean.10 numeric
@attribute lowlevel.gfcc.mean.11 numeric
@attribute lowlevel.gfcc.mean.12 numeric
@attribute lowlevel.mfcc.mean.0 numeric
@attribute lowlevel.mfcc.mean.1 numeric
@attribute lowlevel.mfcc.mean.2 numeric
@attribute lowlevel.mfcc.mean.3 numeric
@attribute lowlevel.mfcc.mean.4 numeric
@attribute lowlevel.mfcc.mean.5 numeric
@attribute lowlevel.mfcc.mean.6 numeric
@attribute lowlevel.mfcc.mean.7 numeric
@attribute lowlevel.mfcc.mean.8 numeric
@attribute lowlevel.mfcc.mean.9 numeric
@attribute lowlevel.mfcc.mean.10 numeric
@attribute lowlevel.mfcc.mean.11 numeric
@attribute lowlevel.mfcc.mean.12 numeric
@attribute rhythm.danceability numeric
@attribute rhythm.onset_rate numeric
@attribute rhythm.beats_loudness_band_ratio.mean.0 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.1 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.2 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.3 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.4 numeric
@attribute rhythm.beats_loudness_band_ratio.mean.5 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.0 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.1 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.2 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.3 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.4 numeric
@attribute rhythm.beats_loudness_band_ratio.stdev.5 numeric
@attribute tonal.chords_strength.mean numeric
@attribute tonal.chords_strength.stdev numeric
@attribute tonal.hpcp_entropy.mean numeric
@attribute tonal.hpcp_entropy.stdev numeric
@attribute tonal.key_edma.strength numeric
@attribute tonal.key_krumhansl.strength numeric
@attribute tonal.key_temperley.strength numeric
@attribute class {pleased,happy,excited,annoyed,angry,nervous,sad,bored,sleepy,relaxed,peaceful,calm}

@data
15.235527,5.310791,7.097315,5.445562,0.013258,0.019446,0.000009,0.000027,0.000456,0.000745,0.001401,0.002276,0.011621,0.01729,5.83569,0.507039,0.022632,0.031597,701.677429,646.507752,3.653033,1.772671,0.028738,0.017056,-205.67424,215.599182,-177.767929,-23.475592,-41.324772,-63.885765,-22.572115,-25.810448,-13.3913,-15.947097,-10.189797,-12.636573,-7.598317,-830.237244,235.211029,-61.39661,16.241201,-15.708013,-29.523947,-21.425829,-19.332291,-14.345634,-14.690389,-8.373078,-8.230917,-6.480596,0.978899,2.353113,0.084206,0.432777,0.395269,0.080642,0.043004,0.005503,0.094139,0.217192,0.188107,0.048706,0.031878,0.00702,0.407429,0.086958,0.820201,0.664065,0.744783,0.742615,0.746325,bored
19.912382,7.276116,5.401312,8.845001,0.014447,0.024768,0,0.000002,0.001277,0.00319,0.003225,0.012172,0.010152,0.016597,4.952744,0.774025,0.02113,0.033095,759.245728,488.692078,9.450652,3.211464,0.027738,0.01786,-334.068451,217.438202,-128.989197,-107.345291,-47.18121,-25.142084,-34.270363,-11.175509,-12.526949,-10.100848,2.359334,3.418454,7.988856,-961.7995,242.562012,-14.405216,-55.189671,-23.302092,-23.585379,-18.556229,-10.297281,-9.188017,-11.1805,-11.231275,-2.598719,6.581923,0.932598,2.173839,0.048237,0.339255,0.349729,0.281146,0.008934,0.000066,0.10578,0.319254,0.320927,0.331702,0.022119,0.000142,0.489722,0.065348,1.025564,0.660804,0.675457,0.663054,0.650789,sad
16.760756,5.616078,12.054662,13.722026,0.016944,0.019235,0.000013,0.000062,0.000164,0.001096,0.001706,0.002543,0.015254,0.017149,5.732309,0.624998,0.023893,0.029776,700.301025,889.010803,4.058727,1.871363,0.029341,0.026436,-218.953064,201.262909,-188.048264,-46.545444,-39.125813,-65.957825,-35.867291,-24.091402,-10.485064,-7.259918,-7.656116,-12.360803,-7.742183,-843.492554,229.270019,-76.353722,-0.110052,-14.133295,-34.080479,-29.615398,-26.833015,-15.915317,-13.895678,-4.138301,-0.535529,-4.340751,0.930995,2.7083,0.065975,0.421336,0.499824,0.077987,0.041775,0.003465,0.089757,0.200902,0.191043,0.055761,0.019373,0.003765,0.545967,0.091671,1.12669,0.555142,0.779494,0.779002,0.744446,nervous
13.690601,4.677581,4.136391,3.899588,0.021297,0.019558,0.000015,0.000033,0.000441,0.00061,0.003715,0.008914,0.017744,0.014466,6.106403,0.401373,0.034211,0.0334,716.046936,459.510254,4.041737,2.285017,0.028279,0.012957,-156.639404,220.115738,-170.273483,-28.541206,-50.329723,-56.644989,-22.897678,-28.921345,-12.479589,-18.407732,-14.519478,-23.356337,-11.81702,-785.758118,248.926392,-55.909431,13.48156,-26.483608,-21.988216,-22.884148,-21.004513,-13.444373,-7.356897,-6.014157,-8.663746,-13.352874,1.119059,3.105484,0.114696,0.36354,0.441273,0.15526,0.025542,0.002979,0.106406,0.202151,0.183931,0.174513,0.018382,0.003749,0.520148,0.071167,0.940107,0.590163,0.778502,0.790029,0.79255,sad
13.188575,4.569808,12.29222,10.160426,0.015631,0.019691,0.000385,0.000811,0.00116,0.001508,0.003155,0.00686,0.012077,0.016089,7.493955,0.563381,0.032322,0.023224,1565.516846,1734.878296,1.62361,0.550411,0.059058,0.02732,-37.681541,66.997353,-106.154884,4.681549,-85.42308,8.95134,-58.180035,-8.297424,-35.450653,3.707805,-25.86972,-6.139246,-19.975054,-686.596741,108.014534,19.366356,-2.93568,-8.765116,0.624339,-15.355505,-17.458952,-12.928566,-5.991002,-8.61103,-7.135746,-4.919404,1.078868,5.323687,0.160713,0.309371,0.28137,0.151165,0.0609,0.063951,0.12056,0.196441,0.193751,0.175866,0.085237,0.092361,0.440411,0.079408,1.096248,0.638053,0.660354,0.67473,0.694574,bored
13.999539,4.238925,2.184322,1.965734,0.026129,0.015881,0,0,0.000526,0.001069,0.004767,0.005852,0.021205,0.012273,5.189783,0.278056,0.039108,0.021956,737.517273,294.515045,12.126642,4.049703,0.02574,0.0074,-224.866119,250.190872,-98.18586,-109.373917,-64.288666,-30.732267,-35.50864,-39.430016,-32.975906,-14.938649,1.402031,-17.435141,-13.658337,-894.842163,314.451843,16.774969,-56.635681,-37.703522,-20.84263,-6.800757,-24.483723,-37.821285,-19.589874,-7.376087,-13.34247,-12.14296,0.898932,3.976728,0.086721,0.454067,0.379992,0.151668,0.003321,0.000029,0.070714,0.201001,0.158845,0.13559,0.006098,0.000097,0.512213,0.066301,1.406336,0.484024,0.734055,0.736851,0.706135,calm
9.79408,3.580059,0.589851,3.305478,0.009929,0.014461,0.000333,0.000472,0.000023,0.000057,0.008309,0.012885,0.001331,0.001905,6.910351,0.385662,0.024814,0.018547,2277.293701,698.199219,1.486776,0.443732,0.080451,0.018273,-124.439423,66.709854,-210.607468,10.012602,-54.343575,2.634256,-29.437281,-3.557389,-25.972393,3.042494,-21.659578,-4.914207,0.232976,-744.337952,99.583176,-87.480858,7.488075,-19.637665,6.064414,-2.629335,-8.277384,6.953902,-2.778433,-10.236691,-2.143556,-5.512046,0.977447,2.020125,0.012949,0.055009,0.124427,0.32207,0.420209,0.077758,0.014573,0.056439,0.089498,0.145997,0.162996,0.035555,0.475912,0.124,1.504558,0.567817,0.664427,0.675928,0.692164,peaceful
20.377441,5.726293,9.708785,12.000519,0.011491,0.022912,0,0,0.000439,0.0014,0.000231,0.00156,0.011024,0.021949,4.534246,0.581919,0.016818,0.027213,563.774048,434.109375,13.236127,3.478161,0.021867,0.015666,-382.212585,231.892319,-72.676033,-89.45929,-59.141953,-33.546467,-33.420143,-4.245106,0.804223,-4.305839,-3.659117,-10.758551,-6.937832,-1005.029419,242.276398,43.221092,-28.831205,-24.692905,-26.360355,-25.616787,-14.423481,-6.009027,-2.036081,2.813919,4.213002,-0.595653,1.077929,0.778175,0.053733,0.391604,0.591943,0.022525,0.002202,0.000026,0.094483,0.292948,0.310774,0.063751,0.007733,0.000064,0.429765,0.110974,0.876861,0.626909,0.697899,0.708437,0.721287,sad
15.656046,6.040898,12.335689,19.592663,0.017178,0.018502,0.000037,0.000126,0.002303,0.003819,0.002202,0.003041,0.014012,0.014955,6.385981,0.570599,0.034965,0.033379,786.553711,685.581238,2.375655,1.26823,0.032829,0.017219,-174.785278,202.650314,-184.415329,-1.470835,-34.373173,-53.323181,-29.268795,-26.041512,-13.459351,-18.684734,-8.142443,-19.417896,-11.957183,-797.571106,222.184204,-72.979469,31.965019,-6.52038,-19.007536,-18.157835,-16.020811,-16.141376,-8.675371,-7.179142,-7.799596,-5.587583,0.905957,3.24108,0.351585,0.365268,0.235137,0.059661,0.061235,0.009427,0.2172,0.183298,0.182164,0.036888,0.037964,0.010479,0.448183,0.106934,1.195652,0.690814,0.807359,0.799907,0.793154,angry
13.499353,4.71603,5.521346,24.600468,0.01335,0.023457,0.000017,0.000057,0.000886,0.00247,0.004213,0.011156,0.008859,0.014787,6.131856,0.485787,0.030913,0.03853,834.972839,524.233887,4.449831,1.514527,0.030423,0.015961,-194.446182,178.838928,-120.391411,-28.245277,-43.936218,-1.703882,-35.918396,-1.305915,-20.533119,-8.314397,-15.509713,-4.495262,-3.667053,-851.54718,230.471481,-16.968393,-7.778365,0.560059,-4.150118,-7.019854,-1.557018,0.052199,-4.180314,-10.038897,-5.441418,0.331397,0.881749,3.06112,0.194812,0.354237,0.296264,0.17565,0.032943,0.001901,0.199817,0.25539,0.199718,0.159688,0.044704,0.004606,0.503996,0.069917,1.137858,0.659067,0.765919,0.773899,0.774066,excited
